"26","filesize","369.97 kB","1"
"25","force","0","1"
"121","publication","ACM SIGGRAPH ASIA 2012 Emerging Technologies, Singapore, 2012","2"
"122","authors","Wataru FUJIMURA, Yukua KOIDE, Robert SONGER, Takahiro HAYAKAWA, Akihiko SHIRAI, Kazuhisa YANAKA","2"
"179","publication","第17回日本バーチャルリアリティ学会大会論文集, 2012年9月 ","3"
"180","authors","藤村航，小出雄空明，早川貴奉，谷中一寿，白井暁彦","3"
"178","force","0","3"
"124","youtube","http://www.youtube.com/watch?v=8UMpx56lMT8","2"
"320","pubdate","2012年9月12～14日","20"
"177","thumbnail","https://blog.shirai.la/wp-content/uploads/downloads/thumbnails/2012/11/2X3DTopImage4.png","3"
"125","filesize","2.15 MB","2"
"29","force","0","4"
"30","force","0","5"
"31","force","0","6"
"34","thumbnail","https://blog.shirai.la/wp-content/uploads/downloads/thumbnails/2012/11/AccuMotionLib.png","7"
"35","force","0","7"
"36","filesize","458 kB","7"
"37","thumbnail","https://blog.shirai.la/wp-content/uploads/downloads/thumbnails/2012/11/ErikGeslin.jpg","8"
"38","force","0","8"
"39","filesize","176.96 kB","8"
"40","force","0","9"
"41","filesize","48.49 kB","9"
"42","force","0","10"
"43","filesize","2.15 MB","10"
"44","force","0","11"
"45","filesize","1.63 MB","11"
"46","force","0","12"
"47","force","0","13"
"48","force","0","14"
"49","force","0","15"
"50","force","0","16"
"51","force","0","17"
"52","force","0","18"
"53","force","0","19"
"184","force","0","21"
"199","force","0","27"
"202","force","0","28"
"210","authors","小出 雄空明，小熊 遼，坂井 拓也，白井 暁彦","29"
"211","force","0","30"
"157","force","0","31"
"217","force","0","32"
"220","force","0","33"
"223","force","0","34"
"226","force","0","35"
"229","force","0","36"
"241","force","0","37"
"244","force","0","38"
"247","force","0","39"
"250","force","0","40"
"214","force","0","41"
"253","force","0","42"
"235","force","0","44"
"149","force","0","45"
"145","force","0","46"
"81","force","0","47"
"137","force","0","48"
"83","force","0","49"
"153","force","0","50"
"141","force","0","51"
"86","force","0","52"
"259","force","0","53"
"262","force","0","54"
"265","force","0","55"
"268","force","0","56"
"271","force","0","57"
"256","force","0","58"
"94","force","0","60"
"169","force","0","61"
"96","force","0","62"
"97","force","0","63"
"98","force","0","64"
"99","force","0","65"
"100","force","0","66"
"101","force","0","67"
"119","thumbnail","https://blog.shirai.la/wp-content/uploads/downloads/thumbnails/2012/11/sBestShot2D3D.png","2"
"123","url","http://www.siggraph.org/asia2012/emergin-technologies-detail?id=100-868&session=etech&event=200-742","2"
"120","force","0","2"
"131","authors","Wataru Fujimura, Yukua Koide, Takuya Sakai, Songer Robert, Takayuki Kosaka and Akihiko Shirai","25"
"129","force","0","25"
"130","publication","NICOGRAPH International 2012, Bali Indonesia, July 3rd 2012","25"
"132","filesize","1.06 MB","25"
"726","authors","Takuya SAKAI, Wataru FUJIMURA, Songer ROBERT, Takayuki KOSAKA, Akihiko SHIRAI","26"
"725","publication","VRIC ’12 Proceedings of the 2012 Virtual Reality International Conference","26"
"724","force","0","26"
"138","publication","SIGGRAPH ASIA 2011 Posters","48"
"139","authors","Noriyuki Yamamoto, Nahomi Maki, Akihiko Shirai","48"
"140","filesize","422.84 kB","48"
"142","publication","SIGGRAPH ASIA 2011 Technical Sketches & Posters","51"
"143","authors","Koki Nagano, Takeru Utsugi, Kazuhisa Yanaka, Akihiko Shirai, Masayuki Nakajima","51"
"144","filesize","3.63 MB","51"
"146","publication","ACM SIGGRAPH 2011, Vancouver, Canada, (2011.8.7)","46"
"147","authors","Hajime Misumi, Wataru Fujimura, Takayuki Kosaka, Motofumi Hattori, Akihiko Shirai","46"
"148","filesize","378.11 kB","46"
"150","publication","NICOGRAPH International 2011, 10-11 June 2011","45"
"151","authors","Wataru FUJIMURA, Yukua KOIDE, Robert SONGER, Takahiro HAYAKAWA, Akihiko SHIRAI, Kazuhisa YANAKA","45"
"152","filesize","8.32 MB","45"
"154","publication","NICOGRAPH International 2011(2011/6/10-11)","50"
"155","authors","Taisuke YAMASHITA, Akihiko SHIRAI, Motofumi HATTORI","50"
"156","filesize","2.29 MB","50"
"158","publication","Proceedings of Virtual Reality International Conference (VRIC 2011), 6-8 April 2011, Laval, France","31"
"159","authors","FUJIMURA Wataru, IWDATE Shoto, SHIRAI Akihiko","31"
"160","filesize","647.13 kB","31"
"167","authors","Koki Nagano, Takeru Utsugi, Mika Hirano, Takeo Hamada, Akihiko Shirai, Masayuki Nakajima","59"
"166","publication","SIGGRAPH ’10 ACM SIGGRAPH 2010 Posters (2010) ","59"
"165","force","0","59"
"168","filesize","788.38 kB","59"
"170","publication","Proceedings of Virtual Reality International Conference (VRIC 2010), 7-9 April 2010, Laval, France, pp.76–78 (2010.4.7)","61"
"171","authors","Takeo HAMADA, Koki NAGANO, Takeru UTSUGI, Mika HIRANO, Akihiko SHIRAI","61"
"172","filesize","156.9 kB","61"
"314","authors","岩楯翔仁, 小出雄空明, 大塚真吾, 白井暁彦","24"
"313","publication","HCGシンポジウム2012","24"
"312","force","0","24"
"319","authors","小出雄空明，奈良優斗，藤村航，白井暁彦","20"
"185","publication","第17回日本バーチャルリアリティ学会大会","21"
"186","authors","藤村航，小出雄空明，早川貴奉，谷中一寿，白井暁彦","21"
"188","filesize","2.39 MB","21"
"195","authors","北田 大樹，和田 孝志，白井 暁彦","22"
"193","force","0","22"
"194","publication","エンタテインメントコンピューティング2012","22"
"327","authors","奈良優斗，藤村航，小出雄空明，白井暁彦","23"
"326","publication","エンタテインメントコンピューティング2012","23"
"200","publication","ITを活用した教育シンポジウム2011","27"
"201","authors","小出雄空明，小熊遼，坂井拓也，白井暁彦","27"
"203","publication"," ITを活用した教育シンポジウム2011","28"
"204","authors","北田大樹，白井暁彦，鈴木孝幸","28"
"208","force","0","29"
"209","publication","芸術科学フォーラム2012","29"
"212","publication","芸術科学フォーラム2012","30"
"213","authors","北田大樹，白井暁彦，鈴木考幸","30"
"215","publication","KAITシンポジウム2011","41"
"216","authors","北田大樹，白井暁彦，鈴木孝幸","41"
"218","publication","エンタテインメントコンピューティング2011","32"
"219","authors","加藤 匠，山下 泰介，田中 健司，早川 貴泰，白井 暁彦","32"
"221","publication","第16回日本バーチャルリアリティ学会大会","33"
"222","authors","岩楯翔仁，藤村航，三角甫，小坂崇之，白井暁彦","33"
"224","publication","第16回日本バーチャルリアリティ学会大会","34"
"225","authors","藤村航，三角甫，小坂崇之，白井暁彦","34"
"227","publication","第27回NICOGRAPH論文コンテストポスター","35"
"228","authors","北田大樹，白井暁彦","35"
"230","publication","2011年映像情報メディア学会年次大会","36"
"231","authors","白井暁彦","36"
"239","publication","ITを活用した教育シンポジウム講演論文集","43"
"238","force","0","43"
"236","publication","ITを活用した教育シンポジウム講演論文集","44"
"237","authors","加藤匠，白井暁彦，田中健司，早川貴泰，服部元史","44"
"240","authors","岩楯翔仁，白井暁彦","43"
"242","publication","第10回NICOGRAPH2011春季大会","37"
"243","authors","加藤匠，白井暁彦，田中健司，早川貴泰，服部元史","37"
"245","publication","NICOGRAPH2011春季大会","38"
"246","authors","山下泰介，白井暁彦，服部元史","38"
"248","publication","NICOGRAPH2011春季大会","39"
"249","authors","山本倫之，白井暁彦，服部元史","39"
"251","publication","NICOGRAPH2011春季大会","40"
"252","authors","荒原一成，白井暁彦","40"
"254","publication","インタラクション2011","42"
"255","authors","山下泰介，加藤匠，山本倫之，白井暁彦，服部元史","42"
"257","publication","エンタテイメントコンピューティング2010","58"
"258","authors","白井暁彦，岩楯翔仁，瀬口慎人，鈴木真一朗，長谷川晶一","58"
"260","publication","第15 回日本バーチャルリアリティ学会大会論文集","53"
"261","authors","荒原一成，横田真明，山下泰介，服部元史，白井暁彦","53"
"263","publication","第15回日本バーチャルリアリティ学会大会論文集","54"
"264","authors","加藤匠，横田真明，山下泰介，服部元史，白井暁彦","54"
"266","publication","第15回日本バーチャルリアリティ学会大会論文集","55"
"267","authors","岩楯翔仁，荒原一成，周立，白井暁彦","55"
"269","publication","第15回日本バーチャルリアリティ学会大会論文集","56"
"270","authors","宇津木健，長野光希，谷中一寿，白井暁彦，山口雅浩","56"
"272","publication","第15回日本バーチャルリアリティ学会大会論文集","57"
"273","authors","長野光希，宇津木健，山本倫行，白井暁彦，中嶋正之","57"
"274","filesize","803.66 kB","22"
"325","force","0","23"
"276","filesize","579.13 kB","28"
